,host_is_superhost,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,instant_bookable,ano,semestre,n_amenities,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Outros,property_type_Private room in rental unit,property_type_Room in hotel,room_type_Entire home/apt,room_type_Outros,room_type_Private room,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_Outros,price
0,0,1,52.63136,13.51879,2,1.0,1.0,1,11,1,2022,1,29,0,0,1,0,0,1,0,0,1,0,0,0,0,0,51.0
2,0,1,52.63136,13.51879,4,2.0,3.0,1,3,1,2022,1,33,1,0,0,0,0,1,0,0,1,0,0,0,0,0,87.0
5,0,1,52.63136,13.51879,4,2.0,3.0,1,2,1,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,87.0
6,0,1,52.6315,13.51887,2,1.0,2.0,1,5,1,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,75.0
8,0,1,52.45668,13.70262,2,2.0,3.0,2,57,0,2022,1,34,1,0,0,0,0,1,0,0,1,0,0,0,0,0,89.0
13,0,0,52.40017,13.11369,1,1.0,1.0,1,32,0,2022,1,16,0,0,1,0,0,1,0,0,1,0,0,0,0,0,40.0
24,1,1,52.41851,13.24046,1,1.0,1.0,2,82,0,2022,1,25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,23.0
29,1,1,52.36969,13.64134,4,1.0,1.0,2,130,0,2022,1,18,1,0,0,0,0,1,0,0,1,0,0,0,0,0,50.0
31,0,1,52.63136,13.51879,2,1.0,2.0,1,1,1,2022,1,28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,51.0
32,0,1,52.41227,13.29133,6,2.0,2.0,2,19,0,2022,1,37,1,0,0,0,0,1,0,0,1,0,0,0,0,0,124.0
37,0,1,52.55841,13.1353,3,1.0,1.0,1,0,0,2022,1,40,1,0,0,0,0,1,0,0,0,0,0,1,0,0,95.0
38,0,1,52.45668,13.70262,1,2.0,1.0,2,86,0,2022,1,41,1,0,0,0,0,1,0,0,1,0,0,0,0,0,95.0
40,0,1,52.631359,13.518578,2,1.0,2.0,1,1,1,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,39.0
42,0,1,52.39221,13.7082,1,1.0,1.0,2,26,1,2022,1,34,0,0,1,0,0,0,0,1,0,1,0,0,0,0,30.0
